,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Male,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65plus,Edu_Doctorate,Edu_Left_16,Edu_Left_17,Edu_Left_18,Edu_Left_Before_16,Edu_Masters,Edu_Profess_Diploma,Edu_Some_College,Country_Canada,Country_Ireland,Country_New_Zealand,Country_Other,Country_UK,Country_USA,Race_Black,Race_Mixed_Black_Asian,Race_Mixed_White_Asian,Race_Mixed_White_Black,Race_Other,Race_White
27,41.0,31.0,46.0,43.0,25.0,1.86203,0.40148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,36.0,29.0,41.0,45.0,50.0,0.19268,-0.52593,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29,24.0,51.0,52.0,49.0,53.0,-0.21712,-0.52593,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,39.0,34.0,37.0,33.0,37.0,-1.37983,0.07987,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
31,25.0,34.0,47.0,39.0,42.0,-1.37983,-0.84637,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,28.0,31.0,46.0,46.0,42.0,0.19268,-0.84637,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,40.0,38.0,48.0,51.0,41.0,-0.71126,-1.54858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
34,46.0,44.0,52.0,23.0,36.0,0.52975,1.92173,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,33.0,34.0,28.0,41.0,36.0,0.52975,-1.54858,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,33.0,36.0,45.0,43.0,30.0,-0.21712,-0.21575,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
37,39.0,42.0,53.0,44.0,37.0,0.52975,-0.52593,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
38,22.0,48.0,48.0,43.0,47.0,-0.21712,-0.84637,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,33.0,33.0,38.0,38.0,45.0,-1.37983,-0.21575,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
40,36.0,37.0,46.0,29.0,47.0,-0.71126,0.07987,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
41,44.0,40.0,53.0,54.0,39.0,-0.21712,-0.21575,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
42,34.0,33.0,37.0,43.0,37.0,-0.21712,-0.52593,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,27.0,36.0,44.0,42.0,34.0,-0.21712,-0.21575,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
44,26.0,49.0,49.0,51.0,48.0,-0.21712,0.07987,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45,31.0,43.0,54.0,49.0,52.0,-1.37983,-2.07848,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
46,39.0,44.0,38.0,45.0,51.0,-0.71126,-0.84637,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
47,19.0,45.0,48.0,49.0,49.0,-2.55524,-1.18084,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
48,37.0,34.0,44.0,42.0,37.0,0.19268,-0.84637,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
49,44.0,36.0,32.0,37.0,44.0,0.52975,1.2247,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,46.0,39.0,45.0,35.0,42.0,-0.71126,-0.84637,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,47.0,46.0,42.0,37.0,27.0,1.86203,1.92173,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
52,34.0,40.0,36.0,45.0,36.0,0.52975,-1.54858,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,23.0,39.0,53.0,45.0,44.0,-0.21712,-0.21575,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,36.0,47.0,42.0,36.0,33.0,1.29221,1.2247,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
55,36.0,35.0,38.0,40.0,39.0,-1.37983,-2.07848,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
56,36.0,40.0,34.0,43.0,44.0,-1.37983,-1.54858,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
57,30.0,44.0,32.0,45.0,47.0,-0.71126,-0.52593,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
58,38.0,44.0,46.0,40.0,39.0,1.86203,1.2247,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
59,31.0,31.0,37.0,32.0,41.0,-1.37983,-1.54858,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,49.0,42.0,48.0,41.0,40.0,-1.37983,0.07987,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
61,18.0,50.0,54.0,44.0,50.0,-1.37983,-1.18084,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,30.0,30.0,33.0,34.0,45.0,-1.37983,-1.18084,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
63,46.0,38.0,41.0,39.0,42.0,-1.37983,-1.18084,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
64,22.0,43.0,53.0,40.0,48.0,-1.37983,-0.52593,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
65,43.0,43.0,40.0,50.0,46.0,0.52975,-0.21575,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
66,26.0,35.0,38.0,51.0,45.0,-0.71126,-1.18084,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
67,32.0,38.0,53.0,37.0,41.0,0.88113,-0.21575,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,27.0,40.0,48.0,42.0,40.0,-0.21712,0.07987,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
69,35.0,35.0,34.0,45.0,42.0,-1.37983,-0.84637,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
70,32.0,38.0,47.0,30.0,40.0,0.52975,0.7654,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
71,31.0,47.0,44.0,50.0,43.0,-2.55524,-0.84637,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
72,22.0,46.0,46.0,46.0,48.0,0.19268,0.40148,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
73,29.0,36.0,44.0,45.0,49.0,-0.71126,-0.21575,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
74,25.0,27.0,26.0,33.0,44.0,0.52975,-2.07848,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
75,34.0,41.0,35.0,38.0,39.0,0.52975,-0.21575,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
76,32.0,35.0,35.0,46.0,46.0,-2.55524,-2.07848,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
77,37.0,28.0,42.0,35.0,39.0,-0.21712,-2.07848,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
78,28.0,34.0,31.0,32.0,25.0,-2.55524,-1.18084,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
79,32.0,34.0,32.0,50.0,37.0,-0.21712,-0.21575,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
80,36.0,42.0,49.0,42.0,51.0,-0.21712,-0.21575,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,28.0,31.0,46.0,37.0,41.0,0.88113,0.40148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
82,19.0,49.0,39.0,47.0,51.0,-0.21712,-1.18084,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
83,46.0,33.0,38.0,52.0,29.0,0.19268,-0.21575,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
84,32.0,41.0,44.0,41.0,41.0,-1.37983,0.07987,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
85,31.0,40.0,35.0,44.0,45.0,0.52975,1.2247,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
86,43.0,39.0,38.0,44.0,41.0,-0.21712,0.40148,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
87,27.0,41.0,43.0,41.0,44.0,-0.71126,0.40148,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,39.0,26.0,36.0,38.0,38.0,-1.37983,-2.07848,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
89,45.0,36.0,48.0,39.0,40.0,0.52975,-0.21575,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
90,49.0,42.0,51.0,45.0,36.0,-1.37983,0.07987,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
91,40.0,37.0,51.0,45.0,47.0,0.88113,0.7654,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
92,22.0,38.0,43.0,45.0,42.0,-0.71126,-0.84637,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
93,34.0,34.0,39.0,48.0,45.0,-1.37983,-1.54858,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
94,29.0,36.0,39.0,47.0,41.0,-1.37983,-2.07848,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
95,31.0,42.0,53.0,32.0,49.0,0.52975,-0.21575,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
96,37.0,32.0,48.0,42.0,47.0,-1.37983,-1.54858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
97,31.0,44.0,44.0,39.0,33.0,0.19268,-0.84637,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
98,25.0,37.0,46.0,39.0,48.0,-0.21712,1.2247,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99,29.0,58.0,51.0,49.0,52.0,0.52975,0.40148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
100,26.0,55.0,50.0,33.0,39.0,-0.21712,1.2247,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
101,30.0,43.0,34.0,42.0,48.0,-1.37983,-0.84637,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,30.0,48.0,55.0,34.0,42.0,-0.71126,1.2247,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
103,36.0,44.0,44.0,41.0,43.0,0.19268,0.7654,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
104,27.0,41.0,45.0,50.0,46.0,-0.71126,0.07987,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
105,18.0,43.0,33.0,38.0,54.0,-1.37983,-1.54858,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
106,46.0,38.0,33.0,45.0,39.0,-1.37983,-0.84637,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
107,37.0,40.0,37.0,38.0,46.0,0.52975,-0.21575,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
108,31.0,53.0,47.0,44.0,47.0,1.86203,1.2247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
109,28.0,43.0,36.0,37.0,38.0,-0.71126,0.07987,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
110,34.0,42.0,47.0,41.0,41.0,0.19268,-0.52593,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
111,39.0,32.0,40.0,39.0,37.0,0.19268,0.40148,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
112,25.0,42.0,52.0,35.0,36.0,-0.21712,-0.21575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
113,36.0,44.0,48.0,44.0,47.0,0.19268,-0.21575,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
114,17.0,52.0,55.0,38.0,31.0,1.86203,1.2247,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
115,38.0,36.0,40.0,45.0,49.0,-1.37983,-2.07848,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
116,42.0,36.0,47.0,31.0,39.0,0.52975,-0.21575,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
117,51.0,45.0,55.0,44.0,33.0,0.52975,0.40148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
118,53.0,26.0,29.0,50.0,44.0,-0.21712,-1.54858,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
119,32.0,44.0,39.0,45.0,51.0,-0.21712,-0.84637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120,26.0,44.0,39.0,36.0,47.0,0.19268,1.92173,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
121,50.0,31.0,35.0,29.0,36.0,0.52975,0.07987,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
122,38.0,41.0,45.0,41.0,35.0,-0.21712,-0.52593,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
123,38.0,35.0,43.0,43.0,43.0,1.29221,0.07987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
124,32.0,52.0,48.0,46.0,46.0,-0.21712,-0.21575,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
125,31.0,48.0,49.0,44.0,49.0,0.52975,0.40148,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
126,25.0,44.0,38.0,40.0,42.0,-0.21712,-0.84637,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
127,32.0,34.0,40.0,45.0,48.0,-1.37983,-2.07848,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
128,36.0,44.0,47.0,44.0,44.0,-0.21712,-1.18084,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,28.0,46.0,38.0,49.0,45.0,0.19268,0.40148,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130,45.0,42.0,36.0,46.0,55.0,-0.71126,-1.18084,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
131,22.0,39.0,37.0,57.0,46.0,-1.37983,-2.07848,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
132,33.0,36.0,42.0,42.0,44.0,-1.37983,-1.54858,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
133,35.0,41.0,48.0,42.0,43.0,0.52975,0.40148,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
134,60.0,29.0,44.0,47.0,37.0,-1.37983,0.40148,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
135,21.0,50.0,42.0,54.0,52.0,0.52975,-0.52593,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
136,34.0,38.0,34.0,54.0,52.0,1.29221,0.07987,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
137,25.0,50.0,48.0,48.0,45.0,-2.55524,-1.18084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
138,31.0,34.0,47.0,45.0,48.0,-1.37983,-1.18084,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
139,35.0,42.0,42.0,49.0,40.0,-0.21712,-0.21575,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
140,54.0,42.0,55.0,49.0,40.0,-0.71126,-0.21575,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,28.0,44.0,38.0,51.0,46.0,-1.37983,-2.07848,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
142,31.0,38.0,37.0,45.0,41.0,0.52975,0.40148,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
143,21.0,48.0,42.0,51.0,54.0,-0.71126,-0.52593,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
144,37.0,32.0,43.0,35.0,42.0,-0.21712,0.7654,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
145,31.0,41.0,38.0,56.0,47.0,1.29221,0.40148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
146,38.0,31.0,45.0,40.0,40.0,0.19268,-1.18084,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
147,30.0,43.0,41.0,44.0,48.0,-0.21712,-0.52593,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
148,35.0,32.0,28.0,37.0,44.0,-1.37983,-1.54858,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
149,28.0,52.0,41.0,55.0,52.0,-0.21712,-1.18084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150,33.0,48.0,47.0,47.0,49.0,0.19268,0.07987,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
151,41.0,28.0,33.0,46.0,35.0,-0.71126,-0.84637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
152,31.0,29.0,41.0,39.0,37.0,-2.55524,-1.54858,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
153,29.0,46.0,34.0,48.0,47.0,-0.21712,-0.52593,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
154,59.0,30.0,51.0,40.0,46.0,-0.21712,0.7654,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
155,42.0,30.0,37.0,45.0,40.0,-0.71126,-0.84637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
156,48.0,40.0,44.0,50.0,43.0,0.19268,-0.52593,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
157,26.0,47.0,33.0,40.0,47.0,-0.21712,0.7654,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
