,sqft_basement,sqft_above,sqft_living,sqft_lot,sqft_living15,sqft_lot15,bedrooms,bathrooms,floors,view,grade,condition,age,age_renovated,waterfront,renovated,sale_month_02,sale_month_03,sale_month_04,sale_month_05,sale_month_06,sale_month_07,sale_month_08,sale_month_09,sale_month_10,sale_month_11,sale_month_12
38,330,890,1220,8075,1290,7800,4,1.0,1.0,0,7,2,46,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
39,0,2620,2620,7553,2620,11884,4,2.5,2.0,0,8,3,18,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
40,0,2570,2570,5520,2470,5669,4,2.5,2.0,0,9,3,14,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
41,1620,2600,4220,24186,2410,30617,4,2.25,1.0,0,8,3,30,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
42,0,3595,3595,5639,3625,5639,5,2.75,2.0,0,9,3,0,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
43,0,1570,1570,2280,1580,2640,3,1.0,2.0,0,7,3,92,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
44,360,920,1280,9656,1340,8808,3,1.0,1.0,0,6,4,55,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
45,0,3160,3160,13603,3050,9232,3,2.5,2.0,0,8,3,11,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
46,0,990,990,8528,1228,8840,3,1.0,1.0,0,6,3,49,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
47,0,2290,2290,13416,2680,13685,4,2.5,2.0,0,9,4,33,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
48,0,1250,1250,5963,970,5100,3,1.75,1.0,0,7,4,62,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
49,588,2165,2753,65005,2680,72513,3,2.5,1.0,2,9,5,62,9999,1,0,0,1,0,0,0,0,0,0,0,0,0
50,0,1190,1190,9199,1190,9364,3,1.0,1.0,0,7,3,59,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
51,1510,1640,3150,9134,1990,9133,5,2.5,1.0,0,8,4,49,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
52,410,1000,1410,4080,1410,4080,3,1.75,1.0,0,7,4,64,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
53,990,990,1980,8550,1480,6738,2,1.75,1.0,0,7,3,34,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
54,600,2130,2730,6000,2730,6000,5,2.25,1.5,0,8,3,88,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
55,0,2830,2830,5000,1950,5000,4,2.5,2.0,0,9,3,19,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
56,0,2250,2250,4495,2250,4500,4,2.5,2.0,0,7,3,6,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
57,0,2420,2420,4750,2690,4750,3,2.5,2.0,0,8,3,12,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
58,0,3250,3250,14342,2960,11044,5,3.25,2.0,4,8,4,46,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
59,0,1850,1850,9976,2270,8542,4,3.0,2.0,0,8,3,24,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
60,560,1590,2150,21235,2570,18900,3,2.25,1.0,3,8,4,55,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
61,0,1260,1260,8400,1290,8750,3,1.75,1.0,0,7,3,60,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
62,0,2519,2519,8690,2500,9500,3,1.75,2.0,0,8,5,41,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
63,0,1540,1540,1044,1580,3090,3,1.75,3.0,0,8,3,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
64,550,1110,1660,6000,1440,4080,3,2.25,1.0,0,7,3,35,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
65,1000,1770,2770,3809,1440,4000,3,2.75,1.5,0,7,5,89,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
66,0,2720,2720,11049,2750,11049,4,2.5,2.0,0,10,3,25,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
67,0,2240,2240,4648,2221,4557,4,2.5,2.0,0,7,3,9,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
68,0,1000,1000,12070,1010,12635,3,1.0,1.0,0,7,4,46,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
69,1600,1600,3200,20158,3390,20158,5,2.25,1.0,0,8,3,49,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
70,1700,3070,4770,50094,3530,38917,5,3.25,1.0,0,11,4,41,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
71,0,1260,1260,5612,1640,4745,3,2.0,1.0,0,7,4,43,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
72,500,2250,2750,7807,1510,7807,4,2.0,1.5,0,7,5,98,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
73,0,2380,2380,5000,2420,5000,4,2.5,2.0,0,8,3,9,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
74,700,1090,1790,50529,1940,50529,3,1.75,1.0,0,7,5,50,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
75,1040,2390,3430,35102,3240,35020,4,4.0,2.0,0,10,4,28,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
76,880,880,1760,7300,1680,7500,4,1.75,1.0,0,7,3,58,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
77,0,1040,1040,5060,890,5060,3,1.0,1.0,0,7,3,74,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
78,500,910,1410,5060,1130,5693,3,1.0,1.0,0,7,4,58,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,3450,3450,39683,3350,39750,4,2.5,2.0,0,10,3,13,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
80,0,2350,2350,5100,2350,5363,3,2.5,2.0,0,8,3,11,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
81,0,1900,1900,5889,1870,6405,4,2.5,2.0,0,7,3,22,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1010,1010,2020,6720,1720,6720,2,1.0,1.0,0,7,3,66,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
83,0,1680,1680,8712,1850,8797,3,1.5,1.0,0,8,3,51,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,960,960,6634,1570,7203,3,1.0,1.0,0,6,3,62,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
85,240,1900,2140,3600,2020,4800,3,1.5,2.0,0,9,3,89,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
86,0,2660,2660,8400,1590,8165,5,2.25,1.5,0,7,5,53,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
87,790,1980,2770,6278,1900,7349,3,3.25,2.0,0,9,3,8,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
88,0,1610,1610,2040,1950,2025,2,2.25,2.0,0,7,4,35,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
89,265,765,1030,1066,1030,1106,2,1.75,2.0,0,7,3,8,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
90,0,1980,1980,7403,1980,7510,4,2.5,2.0,0,7,3,26,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
91,0,3520,3520,6353,2520,6250,5,2.75,2.0,0,10,4,14,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
92,0,1200,1200,10500,1350,10500,3,1.0,1.0,0,7,3,53,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
93,290,1290,1580,5000,1570,4500,3,1.5,1.0,0,8,3,75,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
94,290,1290,1580,5000,1570,4500,3,1.5,1.0,0,8,3,75,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
95,910,2390,3300,10250,1950,6045,4,2.5,1.0,0,7,3,68,23,0,1,0,0,0,0,0,0,0,1,0,0,0
96,0,1960,1960,15681,1750,15616,3,1.75,1.0,0,7,3,48,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
97,0,1160,1160,6400,1160,6400,4,1.5,1.0,0,7,4,39,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
98,600,1210,1810,41800,1650,135036,3,1.75,1.0,0,7,5,34,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
99,0,2320,2320,36847,2550,35065,3,2.5,2.0,2,9,3,22,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
100,800,1270,2070,13241,2200,4500,3,2.5,1.5,0,9,5,104,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
101,540,1440,1980,3478,1610,3478,3,2.0,1.5,0,7,4,85,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
102,0,2190,2190,107593,2570,47777,3,2.25,2.0,0,8,4,31,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
103,0,2920,2920,8113,2370,8113,3,2.5,2.0,0,8,3,64,4,0,1,0,0,0,0,0,0,0,0,1,0,0
104,0,1210,1210,33919,1640,14910,3,1.0,1.0,0,7,3,60,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
105,880,1460,2340,10005,2250,8162,3,2.5,1.0,0,8,4,37,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
106,500,1170,1670,4005,1240,4005,3,1.0,1.5,0,7,4,75,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
107,0,1240,1240,2493,1270,4966,2,1.75,1.0,0,8,4,29,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
108,0,3140,3140,28037,2990,35001,4,2.5,2.0,0,10,4,24,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
109,0,2030,2030,12342,2500,9433,5,1.75,2.0,0,7,4,72,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
110,0,2310,2310,9624,1940,9636,4,2.5,2.0,0,8,3,30,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
111,560,700,1260,3328,1380,3536,3,1.75,1.0,0,6,5,110,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
112,380,1160,1540,12600,1540,11656,3,1.75,1.0,0,7,4,34,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
113,1000,1080,2080,5969,2090,5500,3,1.75,1.0,2,7,3,43,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
114,710,2520,3230,16171,2640,8517,4,2.5,2.0,3,9,3,13,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
115,1600,2780,4380,6350,1830,6350,3,3.5,2.0,0,8,3,114,15,0,1,0,0,0,0,0,0,0,0,0,1,0
116,0,1590,1590,1102,1620,3166,3,3.5,3.0,0,8,3,4,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
117,0,880,880,6780,1190,6780,2,1.0,1.0,0,6,4,69,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
118,0,1570,1570,9600,1880,9000,4,2.0,1.0,0,6,3,65,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,1610,1610,2982,1610,4040,4,1.0,1.5,0,7,4,90,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
120,840,1560,2400,6474,2340,10856,3,2.5,1.0,2,8,3,51,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,1450,1450,9132,1580,9104,3,2.0,1.0,0,7,3,27,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
122,0,770,770,6000,1710,6000,2,1.0,1.0,0,6,3,62,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
123,380,1720,2100,4400,1850,4400,4,1.75,1.5,0,7,5,90,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
124,0,2910,2910,10204,2700,13992,3,2.25,2.0,0,9,3,24,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
125,770,1980,2750,17789,3060,11275,4,2.75,1.5,0,8,3,101,23,0,1,0,1,0,0,0,0,0,0,0,0,0
126,480,1620,2100,8201,2660,8712,3,2.25,1.0,2,8,3,47,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
127,800,1360,2160,8811,2090,8400,4,2.25,1.0,0,8,3,36,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
128,600,1720,2320,4960,1700,4960,5,3.5,2.0,0,7,5,88,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
129,0,2070,2070,4310,1970,3748,4,2.5,2.0,0,7,3,11,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
130,0,1060,1060,7875,1420,7680,3,1.75,1.0,0,7,4,29,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
131,570,1440,2010,9603,2060,9793,4,2.25,1.0,0,8,3,29,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
132,1490,2460,3950,111078,2480,88500,3,3.5,1.5,0,9,3,25,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
133,620,1390,2010,2287,1690,1662,3,2.5,2.0,0,8,3,0,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
134,0,2140,2140,2278,1540,2285,4,3.5,3.0,0,9,3,10,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,1320,1320,17390,1550,19265,3,1.75,1.0,0,7,4,58,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
136,1010,1010,2020,7840,1750,8140,4,1.75,1.0,0,7,3,46,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
137,1250,1340,2590,10002,1550,10436,4,2.25,1.0,0,8,4,46,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
138,0,1190,1190,4440,1060,5715,2,1.0,1.0,0,6,3,33,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
139,0,1170,1170,1249,1350,1310,3,2.25,3.0,0,8,3,0,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
140,0,1110,1110,3200,1170,3600,2,1.0,1.0,0,7,3,89,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
141,1270,1550,2820,9375,2820,9375,5,2.5,1.0,0,8,4,46,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
142,600,1010,1610,8579,1610,8579,3,1.0,1.0,0,7,4,53,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
143,120,940,1060,8097,1560,7940,3,1.0,1.0,0,7,4,92,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
144,650,1380,2030,8517,2230,8824,4,2.25,1.0,0,8,4,54,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
145,0,3670,3670,315374,2840,87991,4,2.5,2.0,0,9,4,20,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
146,180,2370,2550,4000,2200,4000,4,1.0,2.0,0,8,3,109,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
147,0,2420,2420,60984,1940,193842,2,2.5,2.0,0,7,3,7,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
148,1130,1130,2260,12500,1360,18000,5,2.0,1.0,0,8,4,54,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
149,450,980,1430,3455,1450,4599,3,1.0,1.0,0,7,3,67,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
150,0,1360,1360,3090,1500,3090,3,2.0,2.0,0,8,3,24,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
151,0,1110,1110,5000,1420,5000,3,1.0,1.5,0,7,3,68,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
152,0,1250,1250,8200,1680,8633,3,1.0,1.0,0,7,4,61,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
153,1640,3540,5180,19850,3160,9750,4,3.25,2.0,3,12,3,9,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
154,0,700,700,5100,1010,5100,1,1.0,1.0,0,7,3,72,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
155,0,1180,1180,7669,1190,7669,3,1.0,1.0,0,7,4,47,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
156,1460,2500,3960,25245,2640,13675,5,3.5,2.0,0,9,3,18,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
157,1020,1620,2640,7500,1980,7875,4,2.75,1.0,0,8,3,47,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
158,0,1270,1270,7198,1160,7198,3,2.0,1.5,0,7,3,98,1,0,1,0,0,0,0,0,0,0,0,0,1,0
159,0,1760,1760,11180,1730,11180,4,1.75,1.0,0,8,4,46,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
160,1030,1030,2060,8632,1010,11680,5,2.25,1.0,0,7,3,52,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
161,0,1780,1780,9660,1200,9660,3,1.75,1.0,0,7,3,53,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
162,0,3400,3400,16603,3400,12601,3,2.5,2.0,0,10,3,15,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
163,750,1160,1910,7280,1710,8152,3,2.75,1.0,0,7,3,35,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
164,1010,1010,2020,38332,2110,36590,3,2.0,1.0,0,7,4,39,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
165,400,1180,1580,7000,1640,7500,3,1.75,1.0,0,7,3,38,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
166,640,700,1340,7250,1830,9750,2,1.75,1.0,0,5,5,66,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
167,0,2680,2680,4499,2920,4500,4,2.5,2.0,0,9,3,16,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
168,1070,1610,2680,9750,2480,8750,3,2.5,1.0,0,8,4,35,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
169,0,1370,1370,8336,1770,7288,3,2.0,1.0,0,7,5,50,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
170,0,1560,1560,21000,1070,7920,3,1.75,1.0,0,7,3,61,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
171,490,1670,2160,7140,1930,7350,3,1.75,1.0,0,7,4,37,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,1340,1340,7912,1480,7940,3,1.5,1.5,0,7,3,59,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
173,1310,2570,3880,35003,3740,35230,4,2.5,2.0,0,10,3,31,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,2590,2590,8190,2260,8335,4,2.25,2.0,0,8,4,34,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
175,300,820,1120,1100,1590,1795,3,2.5,2.0,0,8,3,7,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
176,650,1320,1970,5400,1280,2150,5,2.75,1.0,0,7,3,28,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
177,0,1220,1220,4800,1200,4800,3,1.0,1.0,0,6,3,113,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
178,630,1320,1950,7560,1950,8941,3,1.5,1.0,2,7,4,39,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
179,290,1060,1350,8220,1540,8280,2,1.0,1.0,0,7,3,66,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,1670,1670,5797,1670,6183,3,2.5,2.0,0,7,3,26,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
181,700,1680,2380,5125,1410,5375,4,3.0,1.5,0,7,4,90,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
182,0,2440,2440,9600,2290,9600,4,3.0,2.0,0,7,5,53,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
183,0,1050,1050,3419,1050,3417,2,1.5,2.0,0,7,3,18,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
184,990,2140,3130,13412,2260,9984,4,2.75,2.0,0,9,3,21,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
185,2000,2090,4090,12850,2540,10270,5,3.0,1.0,2,10,4,28,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
186,390,1100,1490,10000,2190,8910,4,1.75,1.0,0,8,4,46,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
187,0,1900,1900,8744,2030,8744,3,2.5,2.0,0,8,3,27,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
188,0,1330,1330,2400,1330,4400,4,1.0,1.5,0,6,4,114,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
189,800,1430,2230,10026,2230,9340,3,2.25,1.0,0,8,3,39,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
190,430,1220,1650,9480,1540,8400,3,1.75,1.0,0,7,3,37,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
191,0,1190,1190,8820,1230,7980,3,1.0,1.0,0,6,3,55,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
192,0,2140,2140,9897,2680,10083,3,2.5,1.0,0,8,4,55,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
193,760,1420,2180,7508,1900,7818,3,2.5,1.0,0,7,4,52,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
194,0,1060,1060,10228,1570,10228,3,1.0,1.0,0,7,3,66,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
195,0,1690,1690,5025,2550,5001,3,2.5,2.0,0,8,3,11,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
196,840,1130,1970,6480,1500,6480,4,2.0,1.5,0,7,5,94,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
197,0,2150,2150,4084,1750,2385,3,2.5,2.0,0,8,3,7,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
198,0,1910,1910,66211,2330,67268,3,2.5,2.0,0,7,3,18,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,1350,1350,155073,1560,50965,3,1.75,1.0,0,7,4,45,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
200,0,860,860,11725,1300,9514,3,1.0,1.0,0,6,4,72,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
201,0,1940,1940,14952,2030,10450,3,2.5,2.0,0,8,3,20,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
202,0,1010,1010,5000,1680,5000,3,1.0,1.0,0,7,3,62,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
203,400,900,1300,7370,1430,7500,3,1.5,1.0,0,7,4,38,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
204,0,910,910,8450,1400,8040,3,1.0,1.0,0,6,4,53,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
205,850,1630,2480,11010,2770,10744,4,1.75,1.0,0,9,4,48,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
206,0,2440,2440,4587,2750,4587,3,2.5,2.0,0,8,3,4,9999,0,0,0,0,0,0,0,0,0,1,0,0,0
